genres,num_ratings
(no genres listed),26627
action,42276
"action, adventure",143289
"action, adventure, animation",7652
"action, adventure, animation, children",9269
"action, adventure, animation, children, comedy",43289
"action, adventure, animation, children, comedy, fantasy",7760
"action, adventure, animation, children, comedy, imax",5465
"action, adventure, animation, children, comedy, romance",2936
"action, adventure, animation, children, comedy, sci-fi",3876
"action, adventure, animation, children, comedy, sci-fi, imax",180
"action, adventure, animation, children, comedy, western",3704
"action, adventure, animation, children, crime, mystery",7
"action, adventure, animation, children, drama",6
"action, adventure, animation, children, fantasy",1522
"action, adventure, animation, children, fantasy, sci-fi",5468
"action, adventure, animation, children, mystery",32
"action, adventure, animation, children, sci-fi",5890
"action, adventure, animation, comedy",6565
"action, adventure, animation, comedy, crime, mystery",1173
"action, adventure, animation, comedy, drama, fantasy, romance",35
"action, adventure, animation, comedy, fantasy",49
"action, adventure, animation, comedy, fantasy, mystery, sci-fi",365
"action, adventure, animation, comedy, sci-fi",50
"action, adventure, animation, comedy, thriller",71
"action, adventure, animation, crime",3
"action, adventure, animation, crime, fantasy",429
"action, adventure, animation, drama",309
"action, adventure, animation, drama, fantasy",13760
"action, adventure, animation, drama, fantasy, sci-fi",84
"action, adventure, animation, drama, romance",19
"action, adventure, animation, drama, sci-fi",10
"action, adventure, animation, drama, sci-fi, war",21
"action, adventure, animation, fantasy",2386
"action, adventure, animation, fantasy, horror",147
"action, adventure, animation, fantasy, imax",2645
"action, adventure, animation, fantasy, sci-fi",2921
"action, adventure, animation, horror",268
"action, adventure, animation, horror, sci-fi",7289
"action, adventure, animation, mystery, sci-fi",15
"action, adventure, animation, sci-fi",13890
"action, adventure, animation, sci-fi, thriller",60
"action, adventure, children",3745
"action, adventure, children, comedy",12465
"action, adventure, children, comedy, crime",144
"action, adventure, children, comedy, fantasy",15872
"action, adventure, children, comedy, fantasy, sci-fi",5578
"action, adventure, children, comedy, mystery",1042
"action, adventure, children, comedy, romance",6
"action, adventure, children, comedy, sci-fi",383
"action, adventure, children, crime, mystery, thriller",173
"action, adventure, children, drama",3568
"action, adventure, children, drama, fantasy",20
"action, adventure, children, drama, fantasy, sci-fi",14
"action, adventure, children, drama, western",5
"action, adventure, children, fantasy",5045
"action, adventure, children, fantasy, mystery, thriller",2458
"action, adventure, children, fantasy, sci-fi",6
"action, adventure, children, imax",3455
"action, adventure, children, mystery, sci-fi",1952
"action, adventure, children, romance",17
"action, adventure, children, sci-fi",1521
