genre,title,avg_rating,total_ratings,rank_in_genre
(no genres listed),Cosmos,4.33,277,1
(no genres listed),Black Mirror,4.26,456,2
(no genres listed),The Adventures of Sherlock Holmes and Doctor Watson,4.25,147,3
(no genres listed),Whiplash (2013),4.21,1030,4
(no genres listed),Cosmos: A Spacetime Odissey,4.19,191,5
(no genres listed),The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger (1980),4.1,103,6
(no genres listed),Death Note: Desu nôto (2006–2007),4.06,192,7
(no genres listed),Hereditary (2018),3.77,1313,8
(no genres listed),Eighth Grade (2018),3.74,544,9
(no genres listed),13 reasons why,3.7,190,10
(no genres listed),Professor Marston & the Wonder Women (2017),3.7,114,11
(no genres listed),Paterson,3.66,571,12
(no genres listed),Green Room (2015),3.65,1060,13
(no genres listed),The Brand New Testament (2015),3.61,231,14
(no genres listed),The OA,3.58,226,15
(no genres listed),Grandma (2015),3.47,117,16
(no genres listed),The Old Man and the Gun (2018),3.43,172,17
(no genres listed),Fantastic Beasts and Where to Find Them 2 (2018),3.26,891,18
(no genres listed),Pirates of the Caribbean: Dead Men Tell No Tales (2017),3.24,1687,19
(no genres listed),Sierra Burgess Is a Loser (2018),3.1,110,20
(no genres listed),Spectral (2016),3.09,430,21
(no genres listed),Pitch Perfect 3 (2017),3.02,304,22
(no genres listed),Ben-hur (2016),2.79,179,23
action,Ip Man 2 (2010),3.78,1209,1
action,Lone Wolf and Cub: Baby Cart in Peril (Kozure Ôkami: Oya no kokoro ko no kokoro) (1972),3.72,112,2
action,13 Assassins (Jûsan-nin no shikaku) (2010),3.7,825,3
action,Ip Man 3 (2015),3.67,367,4
action,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),3.63,154,5
action,Once Upon a Time in China III (Wong Fei-hung tsi sam: Siwong tsangba) (1993),3.51,190,6
action,Jason Bourne (2016),3.46,1905,7
action,"Last Castle, The (2001)",3.4,1689,8
action,Minnie and Moskowitz (1971),3.39,116,9
action,Thunderbolt and Lightfoot (1974),3.39,680,10
action,Never Back Down (2008),3.3,452,11
action,Hunter Killer (2018),3.26,111,12
action,Game of Death (1978),3.26,302,13
action,Kiss of the Dragon (2001),3.25,1665,14
action,Bastille Day (2016),3.23,133,15
action,"Gauntlet, The (1977)",3.22,441,16
action,Bloodsport (1988),3.19,1912,17
action,Polar (2019),3.17,188,18
action,Ong-Bak 2: The Beginning (Ong Bak 2) (2008),3.08,219,19
action,"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985)",3.06,110,20
action,"Hunted, The (1995)",3.06,341,21
action,Walking Tall (2004),3.05,1194,22
action,Mile 22 (2018),3.05,158,23
action,Fast & Furious Presents: Hobbs & Shaw (2019),3.03,157,24
action,Sudden Death (1995),2.99,3711,25
action,Best of the Best (1989),2.98,302,26
action,Wanted: Dead or Alive (1987),2.93,209,27
